epoch,train_loss,val_map50,seconds
1,1.0047,0.0164,24
2,0.6632,0.0226,22
3,0.6095,0.0215,16
4,0.5718,0.0206,16
5,0.594,0.025,19
6,0.6047,0.0288,17
7,0.5387,0.0479,16
8,0.5813,0.035,16
9,0.5401,0.0476,18
10,0.5232,0.0552,19
11,0.5501,0.0776,18
12,0.5236,0.0832,17
13,0.5223,0.092,16
14,0.4946,0.2177,16
15,0.5065,0.1787,17
16,0.4441,0.3791,24
17,0.4248,0.3848,23
18,0.438,0.2638,24
19,0.4073,0.4234,24
20,0.3855,0.4766,26
21,0.3758,0.5606,22
22,0.3694,0.4961,22
23,0.3607,0.6384,29
24,0.3171,0.5051,23
25,0.2999,0.6512,21
26,0.286,0.6558,22
27,0.2613,0.6594,21
28,0.2437,0.5493,20
29,0.2296,0.6596,21
30,0.2238,0.529,21
31,0.2085,0.5007,22
32,0.1999,0.5797,21
33,0.1914,0.6038,21
34,0.2272,0.6612,21
35,0.213,0.6622,19
36,0.1883,0.6626,19
37,0.1862,0.6723,21
38,0.1844,0.6662,19
39,0.1763,0.6667,22
40,0.1661,0.6651,19
